"","stream","monthN","rep","ArrheniusC","Temp","lnK"
"313","mayfield",3,4,0.282783368603361,12.99017337,-4.67262014123985
"314","mayfield",4,4,-0.15378334139664,16.10488194,-4.78199078085502
"315","mayfield",5,4,-0.726023891396636,20.29174242,-4.40065124090941
"316","mayfield",6,4,-1.04146107139664,22.65191092,-4.28260158710757
"317","mayfield",7,4,-1.05721051139664,22.77074713,-4.16430582387606
"318","mayfield",8,4,-1.11074382139664,23.17539352,-4.06314669621278
"319","mayfield",9,4,-0.860393651396642,21.29250534,-4.46637296968108
"320","mayfield",10,4,0.00525986860336047,14.96235887,-4.33947125693073
"321","mayfield",11,4,0.620353558603362,10.62736806,-4.83034880665194
"322","mayfield",12,4,0.828264908603359,9.191422977,-4.99298866576704
"323","mayfield",1,5,1.00588945860336,7.97611588,-4.71376860466744
"324","mayfield",2,5,0.999438968603364,8.020067014,-4.7504862891977
"325","mayfield",3,5,0.282783368603361,12.99017337,-4.43347943651891
"326","mayfield",4,5,-0.15378334139664,16.10488194,-4.60046377851889
"327","mayfield",5,5,-0.726023891396636,20.29174242,-4.59763961206996
"328","mayfield",6,5,-1.04146107139664,22.65191092,-4.5488600818611
"329","mayfield",7,5,-1.05721051139664,22.77074713,-4.24835226227145
"330","mayfield",8,5,-1.11074382139664,23.17539352,-4.15288637958241
"331","mayfield",9,5,-0.860393651396642,21.29250534,-4.46788321687757
"332","mayfield",10,5,0.00525986860336047,14.96235887,-4.44234631299031
"333","mayfield",11,5,0.620353558603362,10.62736806,-4.60899910695921
"334","mayfield",12,5,0.828264908603359,9.191422977,-4.95789849955653
"335","schultz",1,1,0.558642168603363,11.05639465,-4.40049476560656
"336","schultz",2,1,0.626423918603365,10.58523599,-4.43981270898087
"337","schultz",3,1,0.177118438603358,13.73787647,-4.27956701855947
"338","schultz",4,1,-0.237391121396641,16.70913889,-3.99675111832299
"339","schultz",6,1,-0.963515341396636,22.0651796,-4.00963175492089
"340","schultz",7,1,-0.954811441396636,21.99980603,-4.12955539131718
"341","schultz",8,1,-0.904065351396639,21.61923611,-3.94774656077247
"342","schultz",9,1,-0.724961521396636,20.28385714,-4.17982382622374
"343","schultz",10,1,-0.154549081396638,16.11040476,-4.18797389144757
"344","schultz",11,1,0.456404478603361,11.77002795,-4.41126135503563
"345","schultz",12,1,0.599581348603358,10.77163478,-4.54906096680486
"346","schultz",1,2,0.558642168603363,11.05639465,-4.4463327348233
"347","schultz",2,2,0.626423918603365,10.58523599,-4.3057182509167
"348","schultz",3,2,0.177118438603358,13.73787647,-4.27415574464418
"349","schultz",4,2,-0.237391121396641,16.70913889,-4.15898024007923
"350","schultz",6,2,-0.963515341396636,22.0651796,-4.01286900464537
"351","schultz",7,2,-0.954811441396636,21.99980603,-4.04844199171268
"352","schultz",8,2,-0.904065351396639,21.61923611,-4.02296115833593
"353","schultz",9,2,-0.724961521396636,20.28385714,-4.23006834494988
"354","schultz",10,2,-0.154549081396638,16.11040476,-4.27048168212984
"355","schultz",11,2,0.456404478603361,11.77002795,-4.51862585971634
"356","schultz",12,2,0.599581348603358,10.77163478,-4.51751724817596
"357","schultz",1,3,0.558642168603363,11.05639465,-4.50523580520932
"358","schultz",2,3,0.626423918603365,10.58523599,-4.45649917789094
"359","schultz",3,3,0.177118438603358,13.73787647,-4.16588855648588
"360","schultz",4,3,-0.237391121396641,16.70913889,-3.91420222821019
"361","schultz",6,3,-0.963515341396636,22.0651796,-4.09318978922916
"362","schultz",7,3,-0.954811441396636,21.99980603,-4.12233961236153
